Name, Players,  Tournaments,Earnings,Genre
Apex Legends,882,98,3320382.64,Battle Royale
Fortnite,3283,538,85264796.14,Battle Royale
Free Fire,171,9,668284.76,Battle Royale
H1Z1,119,13,2067122,Battle Royale
PLAYER UNKNOWN S BATTLEGROUNDS Mobile",951,37,3722653.07,Battle Royale
 PLAYERUNKNOWN’S BATTLEGROUNDS,2587,277,21951706.97,Battle Royale
Ring of Elysium,9,4,70000,Battle Royale
Rules Of Survival,0,0,0,Battle Royale
Artifact,269,158,118538.69,Collectable Card
Faeria,0,0,0,Collectable Card
Gwent,310,107,769557.17,Collectable Card
Hand of the Gods,48,36,94434.2,Collectable Card
Hearthstone,2348,874,21155036.92,Collectable Card
Legends of Runeterra,6,2,13203.89,Collectable Card
Magic: The Gathering Arena,232,36,5512000,Collectable Card
Magic: The Gathering Online,130,10,1218000,Collectable Card
Pokémon TCG,0,0,0,Collectable Card
Shadowverse,239,42,3211177.09,Collectable Card
Shardbound,0,0,0,Collectable Card
The Elder Scrolls: Legends,3,1,5000,Collectable Card
Yu-Gi-Oh! Duel Links,328,219,48746.72,Collectable Card
Acceleration of SUGURI 2,3,1,210,Fighting
Aquapazza: Aquaplus Dream Match,5,2,245,Fighting
Arcana Heart 3,4,1,1000,Fighting
Arcana Heart 3: Love Max Six Stars!!!!!,7,3,520,Fighting
Arcana Heart 3: LOVE MAX!!!!!,6,2,410,Fighting
ARMS,95,81,18198.09,Fighting
Attack on Titan Tribute Game,99,75,1570513.53,Fighting
BlazBlue: Calamity Trigger,3,1,35,Fighting
BlazBlue: Central Fiction,81,34,78582.42,Fighting
BlazBlue: Chronophantasma,63,15,37020.58,Fighting
BlazBlue: Chronophantasma Extend,28,11,4918.77,Fighting
BlazBlue: Continuum Shift Extend,3,1,0,Fighting
BlazBlue: Continuum Shift II,14,5,24591.01,Fighting
BlazBlue: Cross Tag Battle,89,31,82800.03,Fighting
Brawlhalla,500,388,1159012.39,Fighting
Brawlout,0,0,0,Fighting
Capcom vs. SNK,6,2,140,Fighting
Capcom vs. SNK 2,36,19,24186.79,Fighting
Chaos Code: New Sign of Catastrophe,3,1,140,Fighting
Dead or Alive 4,45,13,497745.31,Fighting
Dead or Alive 5,4,2,0,Fighting
Dead or Alive 5 Ultimate,37,7,0,Fighting
Dead or Alive 5: Last Round,45,19,8163.82,Fighting
Dead or Alive 6,57,16,63822.54,Fighting
Dead or Alive Ultimate,3,1,30000,Fighting
Dengeki Bunko: Fighting Climax,3,1,60,Fighting
Dengeki Bunko: Fighting Climax Ignition,27,8,2667.3,Fighting
Divekick,27,11,5840,Fighting
Dragon Ball FighterZ,159,73,337985.4,Fighting
Dragon Ball Z: Budokai 3,3,1,204.06,Fighting
Fantasy Strike,8,1,2610,Fighting
Fighter s History Dynamite",3,1,195,Fighting
Fighting EX Layer,14,6,1632.96,Fighting
Garou: Mark of the Wolves,10,3,513.71,Fighting
Guilty Gear,3,1,32,Fighting
Guilty Gear Xrd -REVELATOR-,61,19,36437.43,Fighting
Guilty Gear Xrd -SIGN-,80,38,37445.66,Fighting
Guilty Gear Xrd REV 2,98,48,116554.7,Fighting
Guilty Gear XX,5,2,0,Fighting
Guilty Gear XX #Reload,3,1,0,Fighting
Guilty Gear XX Accent Core,33,4,10365,Fighting
Guilty Gear XX Accent Core Plus,3,1,0,Fighting
Guilty Gear XX Accent Core Plus R,61,19,4640,Fighting
Guilty Gear XX Slash,6,2,10250,Fighting
Hokuto no Ken,3,1,145,Fighting
Hyper Street Fighter II,8,1,10250,Fighting
Injustice 2,81,37,835742.83,Fighting
Injustice: Gods Among Us,101,117,35176.89,Fighting
Kill la Kill the Game: IF,9,3,770,Fighting
Killer Instinct (2013),126,52,224416.96,Fighting
King of Fighters 2002 Unlimited Match,6,2,760,Fighting
King of Fighters 98,7,3,7945.57,Fighting
King of Fighters XI,3,1,25,Fighting
King of Fighters XIII,107,43,44724.28,Fighting
King of Fighters XIV,88,36,72892.09,Fighting
Koihime Enbu,12,5,1615,Fighting
Lethal League Blaze,13,6,1872.9,Fighting
Marvel vs. Capcom 2,58,27,39050,Fighting
Marvel vs. Capcom 3,38,12,22343.62,Fighting
Marvel vs. Capcom: Infinite,49,19,42482.12,Fighting
Melty Blood: Actress Again,10,2,0,Fighting
Melty Blood: Actress Again Current Code,33,11,6135,Fighting
Million Arthur: Arcana Blood,6,2,7420,Fighting
Mordhau,0,0,0,Fighting
Mortal Kombat 11,158,37,392602.33,Fighting
Mortal Kombat 9,67,26,136891.67,Fighting
Mortal Kombat vs. DC Universe,3,1,0,Fighting
Mortal Kombat X,100,62,523532.42,Fighting
Mortal Kombat XL,50,17,129203.79,Fighting
Mystery Game  ,56,8,10995,Fighting
Naruto Shippuden: Ultimate Ninja Storm 4,7,5,4550,Fighting
Nitroplus Blasterz: Heroines Infinite Duel,10,4,1994,Fighting
Persona 4 Arena,42,11,6336.63,Fighting
Persona 4 Arena Ultimax,58,19,18828.16,Fighting
Pokkén  ,62,25,77016.66,Fighting
Pokkén   DX,41,25,20075.4,Fighting
Power Rangers: Battle for the Grid,6,2,1050,Fighting
Power Rangers: Legacy Wars,2,1,4178.55,Fighting
Project Justice,3,1,165,Fighting
Project M,560,335,205292.09,Fighting
Rising Thunder,3,1,1000,Fighting
Rivals of Aether,38,12,37587,Fighting
Sailor Moon S,15,10,3191.19,Fighting
Samurai Shodown (2019),58,15,68009.91,Fighting
Samurai Shodown V Special,13,4,490.11,Fighting
Shovel Knight Showdown,3,1,60,Fighting
Skullgirls,3,1,300,Fighting
Skullgirls 2nd Encore,33,11,17871,Fighting
Skullgirls Encore,37,13,9155.4,Fighting
SNK Heroines: Tag Team Frenzy,3,1,430,Fighting
Soul Calibur II,15,7,4790,Fighting
Soul Calibur II HD Online,29,5,945.41,Fighting
