"Name","ReleaseYear","LargestPrizePool","LargestTournementName","DateOfTounement","LocationOfTournement","TotalPrizePool","TotalPlayers","TotalTournements"
"Age of Empires","1997","$11,954.00","Facebook Gaming Creators Cup 2019","2020-01-12","Viet Nam","190,075.61","246","95"
"Age of Empires II","1999","$110,000.00","War is Coming","2015-03-23","Online and Dubai, UAE","1,417,624.06","801","497"
"Age of Empires III","2005","$20,000.00","WCG 2007 (AoEIII)","2007-10-07","Seattle, Washington, USA","66,463.85","86","72"
"Age of Empires Online","2011","$500.00","Celeste Open Championship","2018-11-26","Online","1,800.00","11","5"
"Age of Mythology","2002","$35,000.00","WCG 2003 (Age of Mythology)","2003-10-18","Seoul, South Korea","52,360.00","22","6"
"Auto Chess","2019","$1,000,000.00","Auto Chess Invitational 2019","2019-10-27","Shanghai, China","1,076,322.28","72","6"
"Brawl Stars","2018","$56,250.00","Brawl Stars World Championship 2020 March Finals","2020-03-08","Katowice, Poland","94,950.00","51","10"
"Chess.com","2007","$180,000.00","FIDE Online Nations Cup","2020-05-10","Online","678,628.54","531","131"
"chess24","2014","$250,000.00","Magnus Carlsen Invitational","2020-05-03","Online","627,876.21","48","6"
"Clash of Clans","2012","$700,000.00","Clash of Clans World Championship 2019","2019-10-27","Hamburg, Germany","751,576.87","77","3"
"Clash Royale","2016","$400,000.00","Clash Royale Crown Championship World Finals 2017","2017-12-03","London, England","2,293,020.39","222","39"
"Command & Conquer 3","2007","$20,000.00","WCG 2007 (C&C3)","2007-10-07","Seattle, Washington, USA","53,086.67","9","8"
"Company of Heroes 2","2013","$4,400.00","Grand Championship Series 2","2018-09-16","Manchester, United Kingdom","8,561.22","11","6"
"ComPet","2016","$2,000.00","ComPet Winter Championship","2017-01-02","Online","2,000.00","50","1"
"Dota Underlords","2019","$16,750.00","WePlay! Dota Underlords Open","2019-08-04","Online","26,024.18","62","36"
"Endgods","2015",NA,NA,NA,NA,"0.00","0","0"
"Farming Simulator 19","2018","$13,351.37","Farming Simulator League @ gamescom 2019","2019-08-24","Cologne, Germany","158,361.30","84","12"
"Grey Goo","2015","$29,400.00","Grey Goo Tournament Series Finals","2016-01-31","San Antonio, Texas, USA","36,400.00","18","5"
"Lichess","2010","$265,000.00","Clutch Chess: International","2020-06-14","Online","404,525.00","72","51"
"osu!","2007","$5,000.00","OWC 2015","2015-12-13","Worldwide","23,100.00","971","7"
"Playchess.com","2002","$23,014.86","Silkway Cup","2020-05-28","Online","24,005.23","76","4"
"Pokémon VGC","2017","$51,500.00","Pokémon 2017 World Championships","2017-08-20","Anaheim, California, United States","211,500.00","170","24"
"Prophecy","2020","$10,000.00","Prophecy 10k #1 - June 2020","2020-06-06","Online","13,000.00","27","4"
"Rise of Nations: Rise of Legends","2006","$69,600.00","$100,000 Rise of the Ultimate Championship Tournament","2007-03-03","Baltimore, USA (Finals)","69,600.00","8","1"
"Sea of Thieves","2016",NA,NA,NA,NA,"0.00","0","0"
"StarCraft II","2010","$700,000.00","WCS 2017 Global Finals","2017-11-04","Anaheim, USA","33,164,673.08","2063","5865"
"StarCraft: Brood War","1998","$126,451.20","GOMTV MSL #2 2007","2007-07-14","Seoul, South Korea","8,251,181.43","674","571"
"Super Mario Party","2018","$220.00","The Pinnacle 2018 (SMP)","2018-12-29","Richmond","220.00","4","1"
"Supreme Commander","2007","$4,901.26","i30 (SupCom)","2007-04-09","Newbury, United Kingdom","4,901.26","0","1"
"Supreme Commander: Forged Alliance","2007","$1,290.01","i33 (SupCom:FA)","2008-03-24","Greenham, United Kingdom","1,290.01","0","1"
"Teamfight Tactics","2019","$150,250.00","Galaxies Showcase","2020-03-13","Online","604,313.65","143","13"
