"Date","Game","ReleaseDate","Genre","Earnings","Players","Tournaments"
1998-01-01,"QuakeWorld","1996","First-Person Shooter",15000,8,1
1998-05-01,"Quake II","1997","First-Person Shooter",14600,4,1
1998-07-01,"Quake II","1997","First-Person Shooter",15000,5,1
1998-07-01,"QuakeWorld","1996","First-Person Shooter",6500,4,1
1998-11-01,"Quake II","1997","First-Person Shooter",36600,13,2
1998-11-01,"QuakeWorld","1996","First-Person Shooter",22000,0,1
1998-11-01,"StarCraft: Brood War","1998","Strategy",20000,8,1
1998-12-01,"Age of Empires","1997","Strategy",2000,1,1
1999-03-01,"Quake II","1997","First-Person Shooter",15000,5,1
1999-04-01,"StarCraft: Brood War","1998","Strategy",3000,2,1
1999-05-01,"Quake II","1997","First-Person Shooter",27400,8,1
1999-05-01,"StarCraft: Brood War","1998","Strategy",27400,8,1
1999-08-01,"Descent 3","1999","First-Person Shooter",50000,1,1
1999-08-01,"StarCraft: Brood War","1998","Strategy",49498.86,9,2
1999-09-01,"StarCraft: Brood War","1998","Strategy",34666.16,15,3
1999-09-01,"Quake III Arena","1999","First-Person Shooter",16400,6,1
1999-10-01,"Quake III Arena","1999","First-Person Shooter",26800,12,1
1999-12-01,"StarCraft: Brood War","1998","Strategy",24988.82,16,4
2000-01-01,"Age of Empires II","1999","Strategy",35335.86,2,1
2000-01-01,"StarCraft: Brood War","1998","Strategy",23820.16,15,3
2000-02-01,"Quake III Arena","1999","First-Person Shooter",4000,3,1
2000-02-01,"Age of Empires II","1999","Strategy",450,5,1
2000-04-01,"Quake III Arena","1999","First-Person Shooter",110927.63,43,8
2000-04-01,"Age of Empires","1997","Strategy",9500,4,1
2000-04-01,"Age of Empires II","1999","Strategy",5015,1,1
2000-05-01,"StarCraft: Brood War","1998","Strategy",17977.49,16,1
2000-05-01,"Quake III Arena","1999","First-Person Shooter",12300,5,2
2000-05-01,"Age of Empires II","1999","Strategy",225,0,2
2000-06-01,"Quake III Arena","1999","First-Person Shooter",6970,9,2
2000-06-01,"StarCraft: Brood War","1998","Strategy",4494.37,1,1
2000-06-01,"Age of Empires II","1999","Strategy",1006.8,5,2
2000-07-01,"Quake III Arena","1999","First-Person Shooter",23170,6,2
2000-07-01,"Marvel vs. Capcom 2","2000","Fighting Game",0,3,1
2000-07-01,"Street Fighter Alpha 2","1996","Fighting Game",0,3,1
2000-07-01,"Street Fighter Alpha 3","1998","Fighting Game",0,3,1
2000-07-01,"Street Fighter III: 3rd Strike","1999","Fighting Game",0,3,1
2000-07-01,"Super Street Fighter II Turbo","1994","Fighting Game",0,3,1
2000-08-01,"StarCraft: Brood War","1998","Strategy",12853.9,4,1
2000-08-01,"Age of Empires II","1999","Strategy",9192,9,3
2000-08-01,"Quake III Arena","1999","First-Person Shooter",5750,3,1
2000-09-01,"Quake III Arena","1999","First-Person Shooter",52059.98,11,5
2000-09-01,"Age of Empires II","1999","Strategy",12378.11,11,3
2000-09-01,"StarCraft: Brood War","1998","Strategy",6292.12,1,2
2000-10-01,"Quake III Arena","1999","First-Person Shooter",75000,5,3
2000-10-01,"Age of Empires II","1999","Strategy",50000,4,1
2000-10-01,"FIFA 2000","1999","Sports",50000,4,1
2000-10-01,"StarCraft: Brood War","1998","Strategy",50000,4,1
2000-11-01,"StarCraft: Brood War","1998","Strategy",17600,16,1
2000-12-01,"Quake III Arena","1999","First-Person Shooter",125060.21,75,4
2000-12-01,"Counter-Strike","2000","First-Person Shooter",23763.33,62,2
2000-12-01,"Age of Empires II","1999","Strategy",165.53,5,2
2001-01-01,"Quake III Arena","1999","First-Person Shooter",19055.71,12,3
2001-01-01,"StarCraft: Brood War","1998","Strategy",5257,7,2
2001-01-01,"Counter-Strike","2000","First-Person Shooter",4720.77,35,1
2001-01-01,"Age of Empires II","1999","Strategy",1200,6,2
2001-02-01,"Quake III Arena","1999","First-Person Shooter",3750,8,1
2001-03-01,"Age of Empires II","1999","Strategy",1641.29,12,5
2001-04-01,"Counter-Strike","2000","First-Person Shooter",43711.29,41,2
2001-04-01,"Quake III Arena","1999","First-Person Shooter",2272.23,8,3
2001-04-01,"Age of Empires II","1999","Strategy",200,1,1
2001-05-01,"Quake III Arena","1999","First-Person Shooter",15841.68,16,2
2001-05-01,"Counter-Strike","2000","First-Person Shooter",13131,41,1
2001-05-01,"StarCraft: Brood War","1998","Strategy",12234.91,16,2
2001-05-01,"Age of Empires II","1999","Strategy",500,1,1
2001-06-01,"Age of Empires II","1999","Strategy",500,4,1
2001-07-01,"QuakeWorld","1996","First-Person Shooter",15000,8,1
2001-07-01,"Counter-Strike","2000","First-Person Shooter",1800,16,2
2001-08-01,"Quake III Arena","1999","First-Person Shooter",58197.36,3,2
2001-08-01,"Counter-Strike","2000","First-Person Shooter",13197.36,41,1
2001-08-01,"Age of Empires II","1999","Strategy",500,1,1
2001-08-01,"Capcom vs. SNK","2000","Fighting Game",0,3,1
2001-08-01,"Marvel vs. Capcom 2","2000","Fighting Game",0,3,1
2001-08-01,"Street Fighter Alpha 3","1998","Fighting Game",0,3,1
2001-08-01,"Super Street Fighter II Turbo","1994","Fighting Game",0,3,1
2001-09-01,"Counter-Strike","2000","First-Person Shooter",22792.51,41,1
2001-09-01,"StarCraft: Brood War","1998","Strategy",7806.4,16,1
2001-10-01,"Counter-Strike","2000","First-Person Shooter",22000,15,2
2001-10-01,"StarCraft: Brood War","1998","Strategy",13057.6,4,1
2001-11-01,"Age of Empires II","1999","Strategy",95000,16,1
2001-11-01,"Counter-Strike","2000","First-Person Shooter",5239.51,5,1
2001-11-01,"Quake III Arena","1999","First-Person Shooter",2619.76,8,1
2001-12-01,"Counter-Strike","2000","First-Person Shooter",220000,109,2
2001-12-01,"Age of Empires II","1999","Strategy",61000,20,5
2001-12-01,"StarCraft: Brood War","1998","Strategy",53538.08,24,3
2001-12-01,"FIFA 2001","2000","Sports",46000,9,2
2001-12-01,"Quake III Arena","1999","First-Person Shooter",46000,8,2
2001-12-01,"Unreal Tournament","1999","First-Person Shooter",46000,9,2
2001-12-01,"Aliens versus Predator 2","2001","First-Person Shooter",40000,1,1
2002-01-01,"Age of Empires II","1999","Strategy",1000,1,1
2002-02-01,"Counter-Strike","2000","First-Person Shooter",26000,15,1
2002-02-01,"Age of Empires II","1999","Strategy",1000,1,1
2002-03-01,"Counter-Strike","2000","First-Person Shooter",1035,17,1
2002-03-01,"Age of Empires II","1999","Strategy",1000,1,1
2002-04-01,"StarCraft: Brood War","1998","Strategy",20338.4,6,2
2002-04-01,"Age of Empires II","1999","Strategy",5500,4,2
2002-04-01,"Super Smash Bros. Melee","2001","Fighting Game",0,3,1
2002-05-01,"Counter-Strike","2000","First-Person Shooter",18411.62,42,1
2002-05-01,"Quake III Arena","1999","First-Person Shooter",9666.1,0,1
2002-05-01,"StarCraft: Brood War","1998","Strategy",4913.16,1,1
2002-05-01,"Age of Empires II","1999","Strategy",2000,4,2
2002-06-01,"StarCraft: Brood War","1998","Strategy",28808.28,19,2
2002-06-01,"Age of Empires II","1999","Strategy",1000,1,1
2002-06-01,"Super Smash Bros. Melee","2001","Fighting Game",40,3,1
2002-07-01,"Counter-Strike","2000","First-Person Shooter",112100.15,169,3
2002-07-01,"Age of Empires II","1999","Strategy",16450,9,4
2002-07-01,"Quake III Arena","1999","First-Person Shooter",9540.3,12,1
2002-07-01,"StarCraft: Brood War","1998","Strategy",2000,3,1
2002-08-01,"Return to Castle Wolfenstein","2001","First-Person Shooter",53000,30,1
2002-08-01,"Quake III Arena","1999","First-Person Shooter",40000,5,1
2002-08-01,"Age of Empires II","1999","Strategy",8850,14,8
2002-08-01,"Capcom vs. SNK 2","2001","Fighting Game",0,3,1
2002-08-01,"Marvel vs. Capcom 2","2000","Fighting Game",0,3,1
2002-08-01,"Super Street Fighter II Turbo","1994","Fighting Game",0,3,1
2002-09-01,"Counter-Strike","2000","First-Person Shooter",5856.64,6,1
2002-09-01,"Age of Empires II","1999","Strategy",5116,5,3
2002-09-01,"Age of Empires","1997","Strategy",100,3,1
2002-10-01,"StarCraft: Brood War","1998","Strategy",33884.42,18,3
2002-10-01,"Counter-Strike","2000","First-Person Shooter",9791.02,40,1
2002-10-01,"Age of Empires II","1999","Strategy",1000,1,1
2002-11-01,"Counter-Strike","2000","First-Person Shooter",86000,55,2
2002-11-01,"Age of Empires II","1999","Strategy",44000,9,2
2002-11-01,"FIFA 2002 World Cup","2002","Sports",43000,8,1
2002-11-01,"Quake III Arena","1999","First-Person Shooter",43000,8,1
2002-11-01,"StarCraft: Brood War","1998","Strategy",43000,8,1
2002-11-01,"Unreal Tournament","1999","First-Person Shooter",43000,8,1
2002-11-01,"Halo: Combat Evolved","2001","First-Person Shooter",5000,21,2
2002-11-01,"Unreal Tournament 2003","2002","First-Person Shooter",4000,8,4
2002-11-01,"WarCraft III","2002","Strategy",106,1,1
2002-12-01,"Counter-Strike","2000","First-Person Shooter",141800.45,145,4
2002-12-01,"WarCraft III","2002","Strategy",31179.25,11,3
2002-12-01,"Unreal Tournament 2003","2002","First-Person Shooter",30000,16,1
2002-12-01,"Return to Castle Wolfenstein","2001","First-Person Shooter",14424.3,0,1
2002-12-01,"NASCAR Thunder 2002","2001","Racing",7679.25,0,1
2002-12-01,"Star Wars Jedi Knight II: Jedi Outcast","2002","First-Person Shooter",7679.25,0,1
2002-12-01,"Age of Empires II","1999","Strategy",5950,13,2
2003-01-01,"Age of Empires II","1999","Strategy",10500,16,3
2003-01-01,"StarCraft: Brood War","1998","Strategy",6051.2,6,1
2003-01-01,"Super Smash Bros. Melee","2001","Fighting Game",2050,7,2
2003-01-01,"Counter-Strike","2000","First-Person Shooter",1280,30,2
2003-02-01,"StarCraft: Brood War","1998","Strategy",24975.04,16,1
2003-02-01,"Counter-Strike","2000","First-Person Shooter",2666.67,32,3
2003-02-01,"Age of Empires II","1999","Strategy",380,4,2
2003-03-01,"Counter-Strike","2000","First-Person Shooter",22817.54,65,4
2003-03-01,"Halo: Combat Evolved","2001","First-Person Shooter",12500,0,1
2003-03-01,"Super Smash Bros. Melee","2001","Fighting Game",12500,3,1
2003-03-01,"Tekken 4","2001","Fighting Game",12500,0,1
2003-03-01,"Unreal Tournament 2003","2002","First-Person Shooter",12500,0,1
2003-03-01,"WarCraft III","2002","Strategy",8081.27,6,1
2003-04-01,"Counter-Strike","2000","First-Person Shooter",51906.6,40,3
2003-04-01,"WarCraft III","2002","Strategy",15741.88,3,1
2003-04-01,"Unreal Tournament 2003","2002","First-Person Shooter",15199.05,0,1
2003-04-01,"Halo: Combat Evolved","2001","First-Person Shooter",14950,32,5
2003-04-01,"Quake III Arena","1999","First-Person Shooter",8663.46,3,2
2003-04-01,"StarCraft: Brood War","1998","Strategy",7265.55,2,2
2003-04-01,"Age of Empires II","1999","Strategy",1980,5,3
2003-05-01,"Counter-Strike","2000","First-Person Shooter",20355.3,52,6
2003-05-01,"Age of Empires II","1999","Strategy",760,6,4
2003-05-01,"Age of Empires","1997","Strategy",625,4,1
2003-06-01,"Counter-Strike","2000","First-Person Shooter",60804.35,63,5
2003-06-01,"StarCraft: Brood War","1998","Strategy",44018,40,2
2003-06-01,"WarCraft III","2002","Strategy",27887.45,4,1
2003-06-01,"NASCAR Thunder 2003","2002","Racing",5933.5,0,1
2003-06-01,"Age of Empires II","1999","Strategy",380,4,2
2003-07-01,"Counter-Strike","2000","First-Person Shooter",133689.2,107,5
