Date,Earnings,Players,Tournaments,Game
Jan 98,15000,8,1,QuakeWorld
May 98,14600,4,1,Quake II
Jul 98,15000,5,1,Quake II
Jul 98,6500,4,1,QuakeWorld
Nov 98,36600,13,2,Quake II
Nov 98,22000,0,1,QuakeWorld
Nov 98,20000,8,1,StarCraft: Brood War
Dec 98,2000,1,1,Age of Empires
Mar 99,15000,5,1,Quake II
Apr 99,3000,2,1,StarCraft: Brood War
May 99,27400,8,1,Quake II
May 99,27400,8,1,StarCraft: Brood War
Aug 99,50000,1,1,Descent 3
Aug 99,49498.86,9,2,StarCraft: Brood War
Sep 99,34666.16,15,3,StarCraft: Brood War
Sep 99,16400,6,1,Quake III Arena
Oct 99,26800,12,1,Quake III Arena
Dec 99,24988.82,16,4,StarCraft: Brood War
Jan 00,35335.86,2,1,Age of Empires II
Jan 00,23820.16,15,3,StarCraft: Brood War
Feb 00,4000,3,1,Quake III Arena
Feb 00,450,5,1,Age of Empires II
Apr 00,110927.63,43,8,Quake III Arena
Apr 00,9500,4,1,Age of Empires
Apr 00,5015,1,1,Age of Empires II
May 00,17977.49,16,1,StarCraft: Brood War
May 00,12300,5,2,Quake III Arena
May 00,225,0,2,Age of Empires II
Jun 00,6970,9,2,Quake III Arena
Jun 00,4494.37,1,1,StarCraft: Brood War
Jun 00,1006.8,5,2,Age of Empires II
Jul 00,23170,6,2,Quake III Arena
Jul 00,0,3,1,Marvel vs. Capcom 2
Jul 00,0,3,1,Street Fighter Alpha 2
Jul 00,0,3,1,Street Fighter Alpha 3
Jul 00,0,3,1,Street Fighter III: 3rd Strike
Jul 00,0,3,1,Super Street Fighter II Turbo
Aug 00,12853.9,4,1,StarCraft: Brood War
Aug 00,9192,9,3,Age of Empires II
Aug 00,5750,3,1,Quake III Arena
Sep 00,52059.98,11,5,Quake III Arena
Sep 00,12378.11,11,3,Age of Empires II
Sep 00,6292.12,1,2,StarCraft: Brood War
Oct 00,75000,5,3,Quake III Arena
Oct 00,50000,4,1,Age of Empires II
Oct 00,50000,4,1,FIFA 2000
Oct 00,50000,4,1,StarCraft: Brood War
Oct 00,0,3,1,Doom II: Hell on Earth
Nov 00,17600,16,1,StarCraft: Brood War
Dec 00,125060.21,75,4,Quake III Arena
Dec 00,23763.33,62,2,Counter-Strike
Dec 00,165.53,5,2,Age of Empires II
Jan 01,19055.71,12,3,Quake III Arena
Jan 01,5257,7,2,StarCraft: Brood War
Jan 01,4720.77,35,1,Counter-Strike
Jan 01,1200,6,2,Age of Empires II
Feb 01,3750,8,1,Quake III Arena
Mar 01,1641.29,12,5,Age of Empires II
Apr 01,43711.29,41,2,Counter-Strike
Apr 01,2272.23,8,3,Quake III Arena
Apr 01,200,1,1,Age of Empires II
May 01,15841.68,16,2,Quake III Arena
May 01,13131,41,1,Counter-Strike
May 01,12234.91,16,2,StarCraft: Brood War
May 01,500,1,1,Age of Empires II
Jun 01,500,4,1,Age of Empires II
Jul 01,15000,8,1,QuakeWorld
Jul 01,1800,16,2,Counter-Strike
Aug 01,58197.36,3,2,Quake III Arena
Aug 01,13197.36,41,1,Counter-Strike
Aug 01,500,1,1,Age of Empires II
Aug 01,0,3,1,Capcom vs. SNK
Aug 01,0,3,1,Marvel vs. Capcom 2
Aug 01,0,3,1,Street Fighter Alpha 3
Aug 01,0,3,1,Super Street Fighter II Turbo
Sep 01,22792.51,41,1,Counter-Strike
Sep 01,7806.4,16,1,StarCraft: Brood War
Oct 01,22000,15,2,Counter-Strike
Oct 01,13057.6,4,1,StarCraft: Brood War
Nov 01,95000,16,1,Age of Empires II
Nov 01,5239.51,5,1,Counter-Strike
Nov 01,2619.76,8,1,Quake III Arena
Dec 01,220000,109,2,Counter-Strike
Dec 01,61000,20,5,Age of Empires II
Dec 01,53538.08,24,3,StarCraft: Brood War
Dec 01,46000,9,2,FIFA 2001
Dec 01,46000,8,2,Quake III Arena
Dec 01,46000,9,2,Unreal Tournament
Dec 01,40000,1,1,Aliens versus Predator 2
Jan 02,1000,1,1,Age of Empires II
Feb 02,26000,15,1,Counter-Strike
Feb 02,1000,1,1,Age of Empires II
Mar 02,1035,17,1,Counter-Strike
Mar 02,1000,1,1,Age of Empires II
Apr 02,20338.4,6,2,StarCraft: Brood War
Apr 02,5500,4,2,Age of Empires II
Apr 02,0,3,1,Super Smash Bros. Melee
May 02,18411.62,42,1,Counter-Strike
May 02,9666.1,0,1,Quake III Arena
May 02,4913.16,1,1,StarCraft: Brood War
May 02,2000,4,2,Age of Empires II
Jun 02,28808.28,19,2,StarCraft: Brood War
Jun 02,1000,1,1,Age of Empires II
Jun 02,40,3,1,Super Smash Bros. Melee
Jul 02,112100.15,169,3,Counter-Strike
Jul 02,16450,9,4,Age of Empires II
Jul 02,9540.3,12,1,Quake III Arena
Jul 02,2000,3,1,StarCraft: Brood War
Aug 02,53000,30,1,Return to Castle Wolfenstein
Aug 02,40000,5,1,Quake III Arena
Aug 02,8850,14,8,Age of Empires II
Aug 02,0,3,1,Capcom vs. SNK 2
